movieId,rating avg,first review,last review,evals
1,3.92123956132,822873600,1427745477,49695
2,3.21197680169,822873600,1427763075,22243
3,3.15104043973,823185228,1427394306,12735
4,2.86139332366,823185225,1427060709,2756
5,3.06459172765,823185224,1427768195,12161
6,3.83493033181,823185240,1427743546,23899
7,3.36648406759,822873600,1427516988,12961
8,3.14204946996,823185265,1425229255,1415
9,3.00492424242,823185248,1427137088,3960
10,3.43002930529,822873600,1427780469,29005
11,3.66771280696,822873600,1427489943,18162
12,2.61976592978,822873600,1427653736,3845
13,3.27241615332,823264414,1427662750,1461
14,3.43208236466,823185239,1427037646,6022
15,2.72199312715,823185221,1425805147,2910
16,3.78745544441,823185221,1427739566,17394
17,3.96857308753,822873600,1427573796,20667
18,3.37363059773,822873600,1427422282,5203
19,2.6074123603,822873600,1427761272,20938
20,2.88075416259,823185223,1427136600,4084
21,3.58168850556,789652009,1427765593,24116
22,3.31939967768,822873600,1427508972,9928
23,3.14823529412,823185233,1427422373,4250
24,3.19984945427,822873600,1427335757,7971
25,3.68950958103,823264414,1427601950,21553
26,3.62885662432,823185239,1426813907,2755
27,3.41352009744,823185233,1427060487,1642
28,4.05754597337,823255320,1427490276,3154
29,3.95223004695,823185249,1427577957,8520
30,3.63387978142,823514030,1405594898,1281
31,3.25034446211,822873600,1427660671,9435
32,3.89805469097,822873600,1427756824,44980
33,3.00769230769,830778084,1422739061,65
34,3.64309409394,822873600,1427731334,32255
35,3.50167448091,823185231,1423991426,1493
36,3.94271709357,822873600,1427634650,20809
37,3.01764705882,827436148,1261620818,85
38,2.85778985507,823264609,1427646537,552
39,3.41363220843,822873600,1427765673,26254
40,3.6467268623,823185249,1425171681,886
41,3.85210066112,823185232,1427135523,4689
42,3.05512768545,823185231,1426717944,2467
43,3.46845611285,823185232,1425794622,2552
44,2.6538749182,823185215,1427501321,10697
45,3.38436135677,822873600,1427768269,8933
46,3.27488299532,823185216,1427061183,3205
47,4.0534925663,789652009,1427770372,43249
48,2.94611375134,822873600,1427657454,13046
49,3.58474576271,836266161,1424988831,236
50,4.3343722078,822873600,1427777124,47006
51,2.55555555556,830778124,1320956184,27
52,3.54114806867,822873600,1427738692,9320
53,3.69666666667,830778124,1405593240,150
54,2.85460251046,826794311,1425171732,956
55,3.24121405751,822873600,1415941235,939
56,1.87142857143,830778124,1427167483,70
57,3.32451824518,822873600,1424138724,2439
58,3.97839639796,822873600,1427028254,11549
59,3.56020942408,830778084,1250094944,191
60,3.11444638048,822873600,1427352500,6313
61,3.3231039018,823185214,1425171639,2281
62,3.73182498323,823185214,1427551329,19381
63,3.06662382177,823185213,1427764899,2334
64,2.82981783317,823185212,1427059916,2086
65,2.39422286184,823185238,1427040265,4864
66,2.14424293547,823185246,1424476225,2371
67,3.35,836266183,1315086209,170
68,3.43699515347,823264415,1424681895,1238
69,3.56063432836,823264588,1427646763,4288
70,3.27745437382,822873600,1427744817,12712
71,2.35521235521,823264589,1426806352,1295
72,3.50243902439,825080155,1427299431,1230
73,3.80676818951,823185247,1427154049,2955
74,3.30221969266,823185247,1427323293,3514
75,2.4623655914,823264628,1425171630,558
76,3.00902366864,823185264,1427422481,3380
77,3.42986425339,824389207,1418040277,221
78,3.18066884176,823185240,1427479164,1226
79,3.12854561879,823185259,1427060482,5535
80,3.72434782609,828003352,1418334159,575
81,3.2673730134,823264587,1427422508,3209
82,4.0049251379,828097813,1425595660,2538
83,3.6531986532,823185259,1427348573,594
84,3.41772151899,825080155,1332234258,158
85,3.5311348563,824389197,1418059808,2714
86,3.48340297122,823185242,1427490218,4308
87,2.35963114754,823185245,1420422982,976
88,3.10762746711,825080156,1427040188,4864
